disorder_group,ICD10_Code,description,flag
Suicide or Self-Injury,X71.3XXA,"Intentional self-harm by drowning and submersion in natural water, initial encounter",originalCodes
Suicide or Self-Injury,X71.3XXD,"Intentional self-harm by drowning and submersion in natural water, subsequent encounter",originalCodes
Suicide or Self-Injury,X71.3XXS,"Intentional self-harm by drowning and submersion in natural water, sequela",originalCodes
Suicide or Self-Injury,X71.8XXA,"Other intentional self-harm by drowning and submersion, initial encounter",originalCodes
Suicide or Self-Injury,X71.8XXD,"Other intentional self-harm by drowning and submersion, subsequent encounter",originalCodes
Suicide or Self-Injury,X71.8XXS,"Other intentional self-harm by drowning and submersion, sequela",originalCodes
Suicide or Self-Injury,X71.9XXA,"Intentional self-harm by drowning and submersion, unspecified, initial encounter",originalCodes
Suicide or Self-Injury,X71.9XXD,"Intentional self-harm by drowning and submersion, unspecified, subsequent encounter",originalCodes
Suicide or Self-Injury,X71.9XXS,"Intentional self-harm by drowning and submersion, unspecified, sequela",originalCodes
Suicide or Self-Injury,X72.XXXA,"Intentional self-harm by handgun discharge, initial encounter",originalCodes
Suicide or Self-Injury,X72.XXXD,"Intentional self-harm by handgun discharge, subsequent encounter",originalCodes
Suicide or Self-Injury,X72.XXXS,"Intentional self-harm by handgun discharge, sequela",originalCodes
Suicide or Self-Injury,X73.0XXA,"Intentional self-harm by shotgun discharge, initial encounter",originalCodes
Suicide or Self-Injury,X73.0XXD,"Intentional self-harm by shotgun discharge, subsequent encounter",originalCodes
Suicide or Self-Injury,X73.0XXS,"Intentional self-harm by shotgun discharge, sequela",originalCodes
Suicide or Self-Injury,X73.1XXA,"Intentional self-harm by hunting rifle discharge, initial encounter",originalCodes
Suicide or Self-Injury,X73.1XXD,"Intentional self-harm by hunting rifle discharge, subsequent encounter",originalCodes
Suicide or Self-Injury,X73.1XXS,"Intentional self-harm by hunting rifle discharge, sequela",originalCodes
Suicide or Self-Injury,X73.2XXA,"Intentional self-harm by machine gun discharge, initial encounter",originalCodes
Suicide or Self-Injury,X73.2XXD,"Intentional self-harm by machine gun discharge, subsequent encounter",originalCodes
Suicide or Self-Injury,X73.2XXS,"Intentional self-harm by machine gun discharge, sequela",originalCodes
Suicide or Self-Injury,X73.8XXA,"Intentional self-harm by other larger firearm discharge, initial encounter",originalCodes
Suicide or Self-Injury,X73.8XXD,"Intentional self-harm by other larger firearm discharge, subsequent encounter",originalCodes
Suicide or Self-Injury,X73.8XXS,"Intentional self-harm by other larger firearm discharge, sequela",originalCodes
Suicide or Self-Injury,X73.9XXA,"Intentional self-harm by unspecified larger firearm discharge, initial encounter",originalCodes
Suicide or Self-Injury,X73.9XXD,"Intentional self-harm by unspecified larger firearm discharge, subsequent encounter",originalCodes
Suicide or Self-Injury,X73.9XXS,"Intentional self-harm by unspecified larger firearm discharge, sequela",originalCodes
Suicide or Self-Injury,X74.01XA,"Intentional self-harm by airgun, initial encounter",originalCodes
Suicide or Self-Injury,X74.01XD,"Intentional self-harm by airgun, subsequent encounter",originalCodes
Suicide or Self-Injury,X74.01XS,"Intentional self-harm by airgun, sequela",originalCodes
Suicide or Self-Injury,X74.02XA,"Intentional self-harm by paintball gun, initial encounter",originalCodes
Suicide or Self-Injury,X74.02XD,"Intentional self-harm by paintball gun, subsequent encounter",originalCodes
Suicide or Self-Injury,X74.02XS,"Intentional self-harm by paintball gun, sequela",originalCodes
Suicide or Self-Injury,X74.09XA,"Intentional self-harm by other gas, air or spring-operated gun, initial encounter",originalCodes
Suicide or Self-Injury,X74.09XD,"Intentional self-harm by other gas, air or spring-operated gun, subsequent encounter",originalCodes
Suicide or Self-Injury,X74.09XS,"Intentional self-harm by other gas, air or spring-operated gun, sequela",originalCodes
Suicide or Self-Injury,X74.8XXA,"Intentional self-harm by other firearm discharge, initial encounter",originalCodes
Suicide or Self-Injury,X74.8XXD,"Intentional self-harm by other firearm discharge, subsequent encounter",originalCodes
Suicide or Self-Injury,X74.8XXS,"Intentional self-harm by other firearm discharge, sequela",originalCodes
Suicide or Self-Injury,X74.9XXA,"Intentional self-harm by unspecified firearm discharge, initial encounter",originalCodes
Suicide or Self-Injury,X74.9XXD,"Intentional self-harm by unspecified firearm discharge, subsequent encounter",originalCodes
Suicide or Self-Injury,X74.9XXS,"Intentional self-harm by unspecified firearm discharge, sequela",originalCodes
Suicide or Self-Injury,X75.XXXA,"Intentional self-harm by explosive material, initial encounter",originalCodes
Suicide or Self-Injury,X75.XXXD,"Intentional self-harm by explosive material, subsequent encounter",originalCodes
Suicide or Self-Injury,X75.XXXS,"Intentional self-harm by explosive material, sequela",originalCodes
Suicide or Self-Injury,X76.XXXA,"Intentional self-harm by smoke, fire and flames, initial encounter",originalCodes
Suicide or Self-Injury,X76.XXXD,"Intentional self-harm by smoke, fire and flames, subsequent encounter",originalCodes
Suicide or Self-Injury,X76.XXXS,"Intentional self-harm by smoke, fire and flames, sequela",originalCodes
Suicide or Self-Injury,X77.0XXA,"Intentional self-harm by steam or hot vapors, initial encounter",originalCodes
Suicide or Self-Injury,X77.0XXD,"Intentional self-harm by steam or hot vapors, subsequent encounter",originalCodes
Suicide or Self-Injury,X77.0XXS,"Intentional self-harm by steam or hot vapors, sequela",originalCodes
Suicide or Self-Injury,X77.1XXA,"Intentional self-harm by hot tap water, initial encounter",originalCodes
Suicide or Self-Injury,X77.1XXD,"Intentional self-harm by hot tap water, subsequent encounter",originalCodes
Suicide or Self-Injury,X77.1XXS,"Intentional self-harm by hot tap water, sequela",originalCodes
Suicide or Self-Injury,X77.2XXA,"Intentional self-harm by other hot fluids, initial encounter",originalCodes
Suicide or Self-Injury,X77.2XXD,"Intentional self-harm by other hot fluids, subsequent encounter",originalCodes
Suicide or Self-Injury,X77.2XXS,"Intentional self-harm by other hot fluids, sequela",originalCodes
Suicide or Self-Injury,X77.3XXA,"Intentional self-harm by hot household appliances, initial encounter",originalCodes
Suicide or Self-Injury,X77.3XXD,"Intentional self-harm by hot household appliances, subsequent encounter",originalCodes
Suicide or Self-Injury,X77.3XXS,"Intentional self-harm by hot household appliances, sequela",originalCodes
Suicide or Self-Injury,X77.8XXA,"Intentional self-harm by other hot objects, initial encounter",originalCodes
Suicide or Self-Injury,X77.8XXD,"Intentional self-harm by other hot objects, subsequent encounter",originalCodes
Suicide or Self-Injury,X77.8XXS,"Intentional self-harm by other hot objects, sequela",originalCodes
Suicide or Self-Injury,X77.9XXA,"Intentional self-harm by unspecified hot objects, initial encounter",originalCodes
Suicide or Self-Injury,X77.9XXD,"Intentional self-harm by unspecified hot objects, subsequent encounter",originalCodes
Suicide or Self-Injury,X77.9XXS,"Intentional self-harm by unspecified hot objects, sequela",originalCodes
Suicide or Self-Injury,X78.0XXA,"Intentional self-harm by sharp glass, initial encounter",originalCodes
Suicide or Self-Injury,X78.0XXD,"Intentional self-harm by sharp glass, subsequent encounter",originalCodes
Suicide or Self-Injury,X78.0XXS,"Intentional self-harm by sharp glass, sequela",originalCodes
Suicide or Self-Injury,X78.1XXA,"Intentional self-harm by knife, initial encounter",originalCodes
Suicide or Self-Injury,X78.1XXD,"Intentional self-harm by knife, subsequent encounter",originalCodes
Suicide or Self-Injury,X78.1XXS,"Intentional self-harm by knife, sequela",originalCodes
Suicide or Self-Injury,X78.2XXA,"Intentional self-harm by sword or dagger, initial encounter",originalCodes
Suicide or Self-Injury,X78.2XXD,"Intentional self-harm by sword or dagger, subsequent encounter",originalCodes
Suicide or Self-Injury,X78.2XXS,"Intentional self-harm by sword or dagger, sequela",originalCodes
Suicide or Self-Injury,X78.8XXA,"Intentional self-harm by other sharp object, initial encounter",originalCodes
Suicide or Self-Injury,X78.8XXD,"Intentional self-harm by other sharp object, subsequent encounter",originalCodes
Suicide or Self-Injury,X78.8XXS,"Intentional self-harm by other sharp object, sequela",originalCodes
Suicide or Self-Injury,X78.9XXA,"Intentional self-harm by unspecified sharp object, initial encounter",originalCodes
Suicide or Self-Injury,X78.9XXD,"Intentional self-harm by unspecified sharp object, subsequent encounter",originalCodes
Suicide or Self-Injury,X78.9XXS,"Intentional self-harm by unspecified sharp object, sequela",originalCodes
Suicide or Self-Injury,X79.XXXA,"Intentional self-harm by blunt object, initial encounter",originalCodes
Suicide or Self-Injury,X79.XXXD,"Intentional self-harm by blunt object, subsequent encounter",originalCodes
Suicide or Self-Injury,X79.XXXS,"Intentional self-harm by blunt object, sequela",originalCodes
Suicide or Self-Injury,X80.XXXA,"Intentional self-harm by jumping from a high place, initial encounter",originalCodes
Suicide or Self-Injury,X80.XXXD,"Intentional self-harm by jumping from a high place, subsequent encounter",originalCodes
Suicide or Self-Injury,X80.XXXS,"Intentional self-harm by jumping from a high place, sequela",originalCodes
Suicide or Self-Injury,X81.0XXA,"Intentional self-harm by jumping or lying in front of motor vehicle, initial encounter",originalCodes
Suicide or Self-Injury,X81.0XXD,"Intentional self-harm by jumping or lying in front of motor vehicle, subsequent encounter",originalCodes
Suicide or Self-Injury,X81.0XXS,"Intentional self-harm by jumping or lying in front of motor vehicle, sequela",originalCodes
Suicide or Self-Injury,X81.1XXA,"Intentional self-harm by jumping or lying in front of (subway) train, initial encounter",originalCodes
Suicide or Self-Injury,X81.1XXD,"Intentional self-harm by jumping or lying in front of (subway) train, subsequent encounter",originalCodes
Suicide or Self-Injury,X81.1XXS,"Intentional self-harm by jumping or lying in front of (subway) train, sequela",originalCodes
Suicide or Self-Injury,X81.8XXA,"Intentional self-harm by jumping or lying in front of other moving object, initial encounter",originalCodes
Suicide or Self-Injury,X81.8XXD,"Intentional self-harm by jumping or lying in front of other moving object, subsequent encounter",originalCodes
Suicide or Self-Injury,X81.8XXS,"Intentional self-harm by jumping or lying in front of other moving object, sequela",originalCodes
Suicide or Self-Injury,X82.0XXA,"Intentional collision of motor vehicle with other motor vehicle, initial encounter",originalCodes
Suicide or Self-Injury,X82.0XXD,"Intentional collision of motor vehicle with other motor vehicle, subsequent encounter",originalCodes
Suicide or Self-Injury,X82.0XXS,"Intentional collision of motor vehicle with other motor vehicle, sequela",originalCodes
Suicide or Self-Injury,X82.1XXA,"Intentional collision of motor vehicle with train, initial encounter",originalCodes
Suicide or Self-Injury,X82.1XXD,"Intentional collision of motor vehicle with train, subsequent encounter",originalCodes
Suicide or Self-Injury,X82.1XXS,"Intentional collision of motor vehicle with train, sequela",originalCodes
Suicide or Self-Injury,X82.2XXA,"Intentional collision of motor vehicle with tree, initial encounter",originalCodes
Suicide or Self-Injury,X82.2XXD,"Intentional collision of motor vehicle with tree, subsequent encounter",originalCodes
Suicide or Self-Injury,X82.2XXS,"Intentional collision of motor vehicle with tree, sequela",originalCodes
Suicide or Self-Injury,X82.8XXA,"Other intentional self-harm by crashing of motor vehicle, initial encounter",originalCodes
Suicide or Self-Injury,X82.8XXD,"Other intentional self-harm by crashing of motor vehicle, subsequent encounter",originalCodes
Suicide or Self-Injury,X82.8XXS,"Other intentional self-harm by crashing of motor vehicle, sequela",originalCodes
Suicide or Self-Injury,X83.0XXA,"Intentional self-harm by crashing of aircraft, initial encounter",originalCodes
Suicide or Self-Injury,X83.0XXD,"Intentional self-harm by crashing of aircraft, subsequent encounter",originalCodes
Suicide or Self-Injury,X83.0XXS,"Intentional self-harm by crashing of aircraft, sequela",originalCodes
Suicide or Self-Injury,X83.1XXA,"Intentional self-harm by electrocution, initial encounter",originalCodes
Suicide or Self-Injury,X83.1XXD,"Intentional self-harm by electrocution, subsequent encounter",originalCodes
Suicide or Self-Injury,X83.1XXS,"Intentional self-harm by electrocution, sequela",originalCodes
Suicide or Self-Injury,X83.2XXA,"Intentional self-harm by exposure to extremes of cold, initial encounter",originalCodes
Suicide or Self-Injury,X83.2XXD,"Intentional self-harm by exposure to extremes of cold, subsequent encounter",originalCodes
Suicide or Self-Injury,X83.2XXS,"Intentional self-harm by exposure to extremes of cold, sequela",originalCodes
Suicide or Self-Injury,X83.8XXA,"Intentional self-harm by other specified means, initial encounter",originalCodes
Suicide or Self-Injury,X83.8XXD,"Intentional self-harm by other specified means, subsequent encounter",originalCodes
Suicide or Self-Injury,X83.8XXS,"Intentional self-harm by other specified means, sequela",originalCodes
Trauma and Stressor-Related Disorders,F43.0,Acute stress reaction,originalCodes
Trauma and Stressor-Related Disorders,F43.10,"Post-traumatic stress disorder, unspecified",originalCodes
Trauma and Stressor-Related Disorders,F43.11,"Post-traumatic stress disorder, acute",originalCodes
Trauma and Stressor-Related Disorders,F43.12,"Post-traumatic stress disorder, chronic",originalCodes
Trauma and Stressor-Related Disorders,F43.20,"Adjustment disorder, unspecified",originalCodes
Trauma and Stressor-Related Disorders,F43.21,Adjustment disorder with depressed mood,originalCodes
Trauma and Stressor-Related Disorders,F43.22,Adjustment disorder with anxiety,originalCodes
Trauma and Stressor-Related Disorders,F43.23,Adjustment disorder with mixed anxiety and depressed mood,originalCodes
Trauma and Stressor-Related Disorders,F43.24,Adjustment disorder with disturbance of conduct,originalCodes
Trauma and Stressor-Related Disorders,F43.25,Adjustment disorder with mixed disturbance of emotions and conduct,originalCodes
Trauma and Stressor-Related Disorders,F43.29,Adjustment disorder with other symptoms,originalCodes
Trauma and Stressor-Related Disorders,F43.8,Other reactions to severe stress,originalCodes
Trauma and Stressor-Related Disorders,F43.9,"Reaction to severe stress, unspecified",originalCodes
Trauma and Stressor-Related Disorders,F94.1,Reactive attachment disorder of childhood,originalCodes
Trauma and Stressor-Related Disorders,F94.2,Disinhibited attachment disorder of childhood,originalCodes
Suicide or Self-Injury,X60.0,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X60.1,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X60.2,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X60.3,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X60.4,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X60.5,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X60.6,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X60.7,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X60.8,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X60.9,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X61.0,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X61.1,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X61.2,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X61.3,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X61.4,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X61.5,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X61.6,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X61.7,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X61.8,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X61.9,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X62.0,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X62.1,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X62.2,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X62.3,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X62.4,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X62.5,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X62.6,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X62.7,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X62.8,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X62.9,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X63.0,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X63.1,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X63.2,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X63.3,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X63.4,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X63.5,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X63.6,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X63.7,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X63.8,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X63.9,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X64.0,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X64.1,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X64.2,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X64.3,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X64.4,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X64.5,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X64.6,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X64.7,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X64.8,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X64.9,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X65.0,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X65.1,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X65.2,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X65.3,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X65.4,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X65.5,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X65.6,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X65.7,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X65.8,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X65.9,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X66.0,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X66.1,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X66.2,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X66.3,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X66.4,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X66.5,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X66.6,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X66.7,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X66.8,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X66.9,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X67.0,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X67.1,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X67.2,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X67.3,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X67.4,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X67.5,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X67.6,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X67.7,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X67.8,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X67.9,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X68.0,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X68.1,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X68.2,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X68.3,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X68.4,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X68.5,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X68.6,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X68.7,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X68.8,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X68.9,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X69.0,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X69.1,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X69.2,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X69.3,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X69.4,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X69.5,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X69.6,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X69.7,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X69.8,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X69.9,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X70.0,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X70.1,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X70.2,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X70.3,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X70.4,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X70.5,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X70.6,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X70.7,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X70.8,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X70.9,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X71.0,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X71.1,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X71.2,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X71.3,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X71.4,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X71.5,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X71.6,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X71.7,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X71.8,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X71.9,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X72.0,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X72.1,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X72.2,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X72.3,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X72.4,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X72.5,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X72.6,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X72.7,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X72.8,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X72.9,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X73.0,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X73.1,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X73.2,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X73.3,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X73.4,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
Suicide or Self-Injury,X73.5,French version of ICD10 codes for Suicide or Self-Injury category,FrenchSpecificCodes
